"asset_ID","재산번호","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
2015,14714,"토지","행정재산","공공용재산","일반","하천","하천",1,103,78795000,78795000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","2002-12-06","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1613128]","경기도 군포시 당동  134 - 33",126.9493,37.3547,126.9493,37.3547,"1",76.5,76.5,19,346,759,120,1461,418,64,11,254,47,1332,96,115,193,6820,913,694,254
2015,138945,"토지","행정재산","공용재산","산","임야","임야",1,6421,79620400,84115100,"경기도 축산산림국 공원녹지과","","","1998-04-27","매입","시험림","2008-03-13","","경기도 군포시 속달동  1 - 25",126.9054,37.3584,126.9054,37.3584,"4",1.24,1.31,11,279,533,87,764,297,51,8,181,29,947,67,79,228,5396,626,511,196
2015,180396,"토지","행정재산","공용재산","산","임야","임야",1,263,3358465,3333022,"경기도 축산산림국 공원녹지과","","","2012-12-21","분할취득","시험림","2008-03-13","","경기도 군포시 속달동  1 - 28",126.9004,37.3484,126.9004,37.3484,"1",1.27698288973384,1.26730874524715,10,186,462,82,601,222,38,8,118,28,670,48,88,85,3512,380,307,129
2015,154139,"토지","행정재산","공공용재산","일반","하천","하천",1,469,123581500,123581500,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","2010-03-26","매입","당정동198-2","2010-05-20","","경기도 군포시 당정동  198 - 2",126.9563,37.3607,126.9563,37.3607,"2",26.35,26.35,24,420,851,122,1662,475,77,11,303,46,1545,107,106,261,8227,1064,860,317
2015,154138,"토지","행정재산","공공용재산","일반","하천","하천",1,790,212905000,212905000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","2010-03-26","매입","당정동208-2","2010-05-20","","경기도 군포시 당정동  208 - 2",126.9565,37.361,126.9565,37.361,"3",26.95,26.95,24,423,855,124,1675,476,77,11,303,45,1560,109,107,261,8261,1062,863,318
2015,14775,"토지","일반재산","미등록","일반","공장용지","공장용지",1,134,61640000,61640000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","1997-08-01","매입","공장용지","2007-07-18","[토지분류코드:GC009][관리대장코드:1613189]","경기도 군포시 당정동  908 - 25",126.956,37.3627,126.956,37.3627,"1",46,46,24,442,888,128,1707,492,76,11,312,45,1612,110,103,266,8665,1106,900,333
2015,14776,"토지","일반재산","미등록","일반","공장용지","공장용지",1,59,2740000,2740000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","1997-08-01","매입","공장용지","2007-07-18","[토지분류코드:GC009][관리대장코드:1613190]","경기도 군포시 당정동  908 - 26",126.9559,37.3627,126.9559,37.3627,"1",4.64406779661017,4.64406779661017,24,443,887,128,1710,493,76,11,312,45,1613,110,103,266,8689,1108,900,334
2015,14777,"토지","일반재산","미등록","일반","공장용지","공장용지",1,287,134603000,134603000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","1997-08-01","매입","공장용지","2007-07-18","[토지분류코드:GC009][관리대장코드:1613191]","경기도 군포시 당정동  908 - 27",126.956,37.3625,126.956,37.3625,"1",46.9,46.9,24,442,886,127,1707,491,76,11,312,45,1606,109,104,266,8629,1098,899,331
2015,14778,"토지","일반재산","미등록","일반","잡종지","잡종지",1,112,49728000,49728000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","1997-08-01","매입","잡종지","2007-07-18","[토지분류코드:GC024][관리대장코드:1613192]","경기도 군포시 당정동  908 - 51",126.9571,37.3592,126.9571,37.3592,"1",44.4,44.4,22,400,819,126,1602,458,74,11,288,46,1477,104,106,234,7859,1031,815,296
2015,14780,"토지","일반재산","미등록","일반","잡종지","잡종지",1,183,75945000,75945000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","1996-10-21","매입","대지","2007-07-18","[토지분류코드:GC024][관리대장코드:1613194]","경기도 군포시 당정동  908 - 73",126.9567,37.3618,126.9567,37.3618,"1",41.5,41.5,24,435,872,127,1690,482,76,11,305,47,1583,109,103,262,8355,1071,871,320
2015,14781,"토지","일반재산","미등록","일반","공장용지","공장용지",1,58,42514000,42514000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","1983-10-14","매입","대지","2007-07-18","[토지분류코드:GC009][관리대장코드:1613195]","경기도 군포시 당정동  908 - 74",126.957,37.3612,126.957,37.3612,"1",73.3,73.3,24,428,858,125,1669,477,77,11,304,46,1559,108,105,261,8262,1061,862,318
2015,14782,"토지","일반재산","미등록","일반","잡종지","잡종지",1,669,329817000,329817000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","1997-08-01","매입","잡종지","2007-07-18","[토지분류코드:GC024][관리대장코드:1613196]","경기도 군포시 당정동  908 - 75",126.9605,37.3559,126.9605,37.3559,"3",49.3,49.3,20,352,782,119,1477,425,74,11,258,45,1348,100,99,189,6960,924,706,256
2015,14783,"토지","일반재산","미등록","일반","대","대",1,213,94998000,94998000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","1983-10-13","매입","공장용지","2007-07-18","[토지분류코드:GC008][관리대장코드:1613197]","경기도 군포시 당정동  908 - 80",126.9619,37.3554,126.9619,37.3554,"1",44.6,44.6,20,347,771,118,1461,423,76,10,256,44,1332,98,96,185,6863,919,705,254
2015,14784,"토지","일반재산","미등록","일반","공장용지","공장용지",1,304,142880000,142880000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","1988-07-20","매입","공장용지","2007-07-18","[토지분류코드:GC009][관리대장코드:1613198]","경기도 군포시 당정동  908 - 88",126.9589,37.3578,126.9589,37.3578,"2",47,47,21,382,800,121,1553,443,74,11,279,48,1421,102,103,202,7347,981,752,275
2015,14749,"토지","일반재산","미등록","일반","대","대",1,259,95830000,95830000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","1997-08-01","매입","대지","2007-07-18","[토지분류코드:GC008][관리대장코드:1613163]","경기도 군포시 당정동  908 - 111",126.9543,37.3657,126.9543,37.3657,"1",37,37,23,466,920,132,1765,511,75,11,335,47,1673,114,99,289,9151,1232,959,347
2015,14750,"토지","일반재산","미등록","일반","대","대",1,104,37648000,37648000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","1997-08-01","매입","대지","2007-07-18","[토지분류코드:GC008][관리대장코드:1613164]","경기도 군포시 당정동  908 - 112",126.9545,37.3658,126.9545,37.3658,"1",36.2,36.2,23,465,923,132,1765,511,75,11,334,47,1670,114,99,289,9146,1235,957,347
2015,14751,"토지","일반재산","미등록","일반","대","대",1,64,21824000,21824000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","1997-08-01","매입","대지","2007-07-18","[토지분류코드:GC008][관리대장코드:1613165]","경기도 군포시 당정동  908 - 116",126.9544,37.3655,126.9544,37.3655,"1",34.1,34.1,23,463,918,132,1761,510,75,11,333,47,1673,114,99,289,9136,1230,962,346
2015,14710,"토지","행정재산","공용재산","산","임야","임야",1,396737,5236928400,5197254700,"경기도 축산산림국 공원녹지과","","","1973-02-26","매입","시험림","2007-07-18","[토지분류코드:GA105][관리대장코드:3700439]","경기도 군포시 속달동  1 - 19",126.8966,37.3383,126.8966,37.3383,"4",1.32,1.31,15,194,474,70,596,213,42,9,111,22,701,48,105,69,3317,357,331,134
2015,138944,"토지","행정재산","공용재산","산","임야","임야",1,20560,252888000,269336000,"경기도 축산산림국 공원녹지과","","","1998-04-27","매입","시험림","2008-03-13","","경기도 군포시 속달동  1 - 24",126.8986,37.3579,126.8986,37.3579,"4",1.23,1.31,11,232,461,81,640,255,50,8,150,26,805,62,77,185,4331,460,392,157
2015,145446,"토지","행정재산","공공용재산","일반","하천","하천",1,363,15189900,15189900,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","2007-12-14","매입","","","","경기도 군포시 둔대동  243 - 15",126.9132,37.3263,126.9132,37.3263,"2",4.18454545454545,4.18454545454545,11,168,429,63,514,194,39,8,92,21,619,43,141,65,3004,345,290,124
2015,167544,"토지","행정재산","공공용재산","일반","하천","하천",1,60,2574000,2574000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","2007-12-14","누락재산등록","하천","2011-08-18","","경기도 군포시 둔대동  249 - 6",126.9119,37.3264,126.9119,37.3264,"1",4.29,4.29,12,179,437,64,521,197,39,8,97,21,648,44,140,68,3121,354,306,129
2015,167545,"토지","행정재산","공공용재산","일반","하천","하천",1,21,900900,900900,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","2007-12-14","누락재산등록","하천","2011-08-18","","경기도 군포시 둔대동  249 - 7",126.9121,37.3264,126.9121,37.3264,"1",4.29,4.29,11,175,437,64,518,197,39,8,96,21,644,44,140,68,3099,354,303,130
2015,145455,"토지","행정재산","공공용재산","일반","하천","하천",1,2122,82545800,82545800,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","2007-12-14","매입","","","","경기도 군포시 둔대동  268 - 1",126.9105,37.3263,126.9105,37.3263,"4",3.89,3.89,12,187,445,67,529,201,36,8,98,21,664,43,137,73,3237,366,310,132
2015,167546,"토지","행정재산","공공용재산","일반","하천","하천",1,24,1029600,1029600,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","2007-12-14","누락재산등록","하천","2011-08-18","","경기도 군포시 둔대동  271 - 1",126.9089,37.3263,126.9089,37.3263,"1",4.29,4.29,12,195,444,67,548,208,38,8,100,21,682,45,136,78,3376,370,327,135
2015,167547,"토지","행정재산","공공용재산","일반","하천","하천",1,294,12612600,12612600,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","2007-12-14","누락재산등록","하천","2011-08-18","","경기도 군포시 둔대동  272 - 3",126.9084,37.3261,126.9084,37.3261,"1",4.29,4.29,12,198,446,67,554,207,38,8,101,22,687,45,137,79,3410,370,331,135
2015,145439,"토지","행정재산","공공용재산","일반","하천","하천",1,768,39445200,39445200,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","2007-12-14","매입","","","","경기도 군포시 둔대동  276 - 4",126.9079,37.3257,126.9079,37.3257,"3",5.13609375,5.13609375,13,202,451,67,565,206,40,8,101,22,683,45,139,78,3422,368,335,137
2015,145280,"토지","행정재산","공공용재산","일반","전","전",1,85,20145000,20145000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","2008-01-07","매입","","","","경기도 군포시 둔대동  276 - 8",126.9078,37.3255,126.9078,37.3255,"1",23.7,23.7,13,203,451,67,567,207,40,8,101,22,681,45,140,78,3424,366,334,136
2015,145429,"토지","행정재산","공공용재산","일반","하천","하천",1,1190,61999000,61999000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","2007-12-14","매입","","","","경기도 군포시 둔대동  280 - 7",126.906,37.3243,126.906,37.3243,"4",5.21,5.21,13,203,456,70,583,199,43,8,102,21,689,44,133,77,3446,369,349,144
